,title,url
196,Investing,https://create.kahoot.it/details/becaf7c3-b5d1-4045-81e7-daa4d3d06835
197,Saving,https://create.kahoot.it/details/46c2b378-c5f7-441d-8d3c-c55dc03665aa
198,Types of Credit,https://create.kahoot.it/details/e26765a5-c9bc-4ae5-a74d-b192e168709e
199,Managing Credit,https://create.kahoot.it/details/25a83480-2eee-4138-a262-1f8aaaa632d8
200,Paying for College,https://create.kahoot.it/details/599df4f9-fee7-4ab1-ba04-1a78fda57fa8
201,Career,https://create.kahoot.it/details/e27d14c5-5b7f-495d-8444-16623b924c8e
202,Checking,https://create.kahoot.it/details/42e287ef-ec05-4775-81c8-dfd6e4179507
203,Taxes,https://create.kahoot.it/details/075509ef-8b85-4397-9e8b-6ee552163fbf
204,Insurance,https://create.kahoot.it/details/f9c4c84e-9b2e-49de-8482-bc9fb9a7927b
205,Purchasing a Used Car,https://create.kahoot.it/details/2e875544-2a13-4609-9a71-13b68eb34393
206,Philanthropy,https://create.kahoot.it/details/169d0994-828f-4226-ae74-10716c165f6b
207,FinCap Friday: Famous and Frugal,https://create.kahoot.it/details/7696d484-3d17-41f6-b7e3-e85d71e56450
208,FinCap Friday: The Endless Stream,https://create.kahoot.it/details/945b91d8-c4e5-4315-95da-9d9502f77e0e
209,FinCap Friday: Get S.M.A.R.T.,https://create.kahoot.it/details/31124327-58d8-457c-9373-1d0d2a25aaac
210,FinCap Friday: From Catalogs to Clicks,https://create.kahoot.it/details/5a8a5edb-da53-4ba0-966b-8045701a0deb
211,FinCap Friday: Romance & Finance,https://create.kahoot.it/details/976654e8-5a15-449c-aedf-5e85d20936c3
212,FinCap Friday: Nike Eyes Growing Feet,https://create.kahoot.it/details/38f08248-65fb-4f17-8edd-5d2fa2d3417a
213,FinCap Friday: Turkey Talk,https://create.kahoot.it/details/6164d73a-dc9f-45fa-a6f6-6fa557a51192
214,"FinCap Friday: Buy Now, Pay Later",https://create.kahoot.it/details/2fc9dcb9-8da3-4a4d-9473-770a3a72e4f0
215,"FinCap Friday: No Credit Score, No Problem",https://create.kahoot.it/details/17d46f18-3003-4205-85d5-7e444f06a4ae
216,FinCap Friday: Got Student Loans? You're Not Alone,https://create.kahoot.it/details/2e083bd4-311a-4df1-bfac-91f73d7d8766
217,FinCap Friday: Cars During Covid,https://create.kahoot.it/details/66b768bd-cccd-4309-8858-5e15e93c46db
218,"FinCap Friday: Move Over, Millennials",https://create.kahoot.it/details/a8318689-36d8-4971-ad53-eecd7a0fc314
219,FinCap Friday: Split Your Payment in a Split Second,https://create.kahoot.it/details/cf605da0-ad7e-494f-b839-afa5f5e526bb
220,FinCap Friday: Credit Crunch,https://create.kahoot.it/details/37979646-9cf2-4308-9ee2-d39ca1170b58
221,FinCap Friday: The Credit Deep Freeze,https://create.kahoot.it/details/8d7adba3-ee8b-4272-af8f-3db02ade45a8
222,FinCap Friday: Fed Up!,https://create.kahoot.it/details/f9b03a61-d638-40ff-b98d-4f2ea5477ab0
223,FinCap Friday: Deals on Wheels,https://create.kahoot.it/details/356c7270-adb5-4f8f-8f5c-76d601070b56
224,FinCap Friday: Tappity-Tap!,https://create.kahoot.it/details/7eaa59d2-29e3-489f-849f-a0e82136c6fc
